Domain,Topic,Rationale,Evidence Statement #1,Evidence Statement #2,Evidence Statement #3,Question,Option A,Option B,Option C,Option D,Option E,Answer
01-Contract Formation,TP.2: Legal Test for Consideration,"The son's actions of not playing video games for a week represents a legal detriment, and the mother's offer of dinner at a restaurant is a legal benefit, making this a case of adequate consideration.","2.a - Apply the legal test for consideration, including both elements of legal value and bargained-for-exchange.",,,"A mother promises her 18-year-old son a dinner at his favorite restaurant if the son refrains from playing video games for a week. The son agrees and does not play video games for a week. 

What is this an example of?",Insufficient consideration,Past consideration,Adequate consideration,A gratuitous promise,,C
01-Contract Formation,TP.2: Legal Test for Consideration,"The homeowner's offer of monetary payment in return for the neighbor's commitment to provide snow removal services constitutes consideration. This forms a bargained-for exchange in which Sam provides financial compensation and Jordan provides labor, both of which are elements of legal value necessary for a contract.","2.a - Apply the legal test for consideration, including both elements of legal value and bargained-for-exchange.",,,"During a particularly harsh winter season, a homeowner, Sam, strikes an agreement with his neighbor, Jordan. Sam agrees to pay Jordan $50 each time Jordan shovels snow from Sams driveway, but only when snowfall exceeds two inches. Jordan, who enjoys working outdoors and is saving up for a new set of skis, agrees to perform this service throughout the winter. They shake hands on the agreement without putting anything in writing.

Which element of this agreement best exemplifies consideration?",The homeowners reliance on the neighbors availability throughout the winter season,"The mutual understanding that snowfall exceeding two inches will require action, thus creating an implicit schedule",The homeowners offer of monetary payment in return for the neighbors commitment to perform snow removal services,"The neighbors personal motivation to earn money for skis, thus incentivizing the agreement",,C
01-Contract Formation,TP.2: Legal Test for Consideration,"The mentee's completion of 100 hours of charity work, which he was not legally required to do, was performed in exchange for the mentor's promise. This constitutes consideration, thereby supporting the enforceability of the promise.","2.a - Apply the legal test for consideration, including both elements of legal value and bargained-for-exchange.",2.c - Identify the legal detriment to the promisee and/or legal benefit to the promisor in a given fact pattern.,,"A mentor offers to pay for her mentee's college tuition for a semester if he volunteers 100 hours at a local animal shelter. Motivated by this promise, the mentee completes the required volunteer hours at the animal shelter even though he is allergic to cats. However, the mentor later backs out of her commitment to pay the mentee's tuition for the semester. 

Which of the following statements are true?",The mentees act of volunteering is inherently charitable and does not constitute consideration.,"The mentee fulfilled the mentors condition by volunteering, which supports the existence of a contract with consideration.","The mentor has an implied duty to her mentee, which obligates her to honor the tuition promise.","The mentor received no direct legal benefit from the mentees volunteer work, which affects enforceability.",,B
01-Contract Formation,TP.2: Legal Test for Consideration,"The novelist's promise to write a unique story is a legal detriment, and the publisher's promise of a $5,000 advance is a legal benefit, satisfying the legal test for consideration.","2.a - Apply the legal test for consideration, including both elements of legal value and bargained-for-exchange.",,,"A well-known novelist agrees to write a unique short story for a publisher in exchange for a $5,000 advance. The publisher agrees to the terms. What is this agreement supported by?",A gratuitous promise,Past consideration,Valid consideration,An illusory promise,,C
01-Contract Formation,TP.2: Legal Test for Consideration,"The tutoring service provided by the tutor in exchange for $1,000 constitutes valid consideration, as it is a service that was bargained for and that benefits the student.","2.a - Apply the legal test for consideration, including both elements of legal value and bargained-for-exchange.",2.d - Identify what is meant by the term 'consideration' in the context of contracts and gifts.,,"John, a college student struggling with a required mathematics course, requests tutoring sessions from Anna, another student who previously took the same mathematics class. Anna agrees to tutor John for the entire semester in exchange for $1,000. John is upset at that fee because he knows that normally he could have received free tutoring from the college, but all the free tutoring slots for the semester have already been filled. Reluctantly, he agrees to pay the $1,000. After the semester of tutoring is completed, Anna asks John for the payment, but he refuses, saying, “You charged me too much, and my GPA didnt increase. 

Is there valid consideration in this situation?","Yes, because the tutoring service is a bargained-for exchange that benefited John","No, because the tutoring service does not have a legal value of $1,000","Yes, because Anna received a benefit by increasing her reputation as a tutor","No, because Anna did not help John improve his GPA",,A
01-Contract Formation,TP.2: Legal Test for Consideration,The agreement is enforceable because consideration does not require equal market value exchange; it requires a bargained-for exchange in which both parties agree to give and receive something of legal value. The fact that the couple and the neighbor willingly entered into the agreement with mutual promises satisfies the criteria for consideration.,"2.a - Apply the legal test for consideration, including both elements of legal value and bargained-for-exchange.","2.f - Understand why courts, as a general rule, do not inquire into the adequacy of consideration.",,"In a suburban community, a couple with a large vegetable garden offers to give their neighbor a basket of fresh produce every week throughout the summer. In return, the neighbor agrees to mow the couples lawn once a month during the same period. The market value of the produce is significantly less than the cost of hiring a professional lawn service, making the exchange seemingly unequal. However, the neighbor performing the lawn service enjoys spending time outdoors, sometimes mowing the lawn more frequently than the couple had originally agreed.
How should the enforceability of the neighbors agreement be evaluated in terms of legal consideration?","The agreement is unenforceable because the couple first offered the produce without asking for anything in return, and the neighbor offered to mow the lawn only to return the favor.","The enforceability is questionable due to the unequal market value of the fresh produce versus the lawn mowing service, potentially affecting the adequacy of consideration.","The agreement is enforceable because the neighbors freely agreed to exchange the weekly fresh produce for the monthly lawn services, fulfilling the requirements for consideration.","The agreement used to be enforceable, but the neighbor over-performed the lawn mowing services without properly renegotiating, which voided the original consideration.",,C
01-Contract Formation,TP.2: Legal Test for Consideration,Both the completion of the additional task by the salesperson and the benefit received by the company from this task constitute valid consideration.,"2.a - Apply the legal test for consideration, including both elements of legal value and bargained-for-exchange.",,,"A salesperson with a required annual sales goal is promised an additional week off with pay if they exceed their annual sales target by 5 percent. The salesperson exceeds the sales goal by 6 percent, but the store manager then refuses to grant the paid time off. Relying solely on what you learned about contracts in JD-Next, was there consideration for the promise of a day off with pay?","Yes, because the salesperson put in additional effort to exceed the sales goal as requested","No, because the promise of a paid week off is not a form of legal consideration","Yes, because the company received a benefit from the additional sales",Both A and C are correct.,,D
01-Contract Formation,TP.2: Legal Test for Consideration,"The writer and the editor exchange two items of legal value, satisfying the legal test for consideration.","2.a - Apply the legal test for consideration, including both elements of legal value and bargained-for-exchange.",,,"A well-known writer has written an article. He shows it to a magazine editor, who requests to buy it for $2,500. The writer agrees to the editors terms. 

What is this agreement supported by?",A gratuitous promise,Past consideration,Valid consideration,An illusory promise,,C
01-Contract Formation,TP.2: Legal Test for Consideration,Zara and Tom's agreement constitutes valid consideration because it involves a bargained-for exchange in which both parties receive a legal benefit.,"2.a - Apply the legal test for consideration, including both elements of legal value and bargained-for-exchange.",,,"Zara has just launched her bakery and asks her friend Tom to promote her baked goods in his popular coffee shop. Zara tells Tom that she will deliver free baked goods for Tom to sell in his coffee shop every Monday for two months. In exchange, Tom must promise to promote her bakery on his coffee shops social media page during the two months. Tom agrees to this arrangement.$$$$Is there valid consideration in this scenario?","There is valid consideration because the baked goods and the social media publicity will be exchanged for the same amount of time, making them of equal legal value.",There is no valid consideration because Zara's delivery of the free baked goods is merely a conditional gift to Tom.,There is no valid consideration because Tom will unjustly profit from the sales of Zaras baked goods which makes it an unfair exchange.  ,There is valid consideration because Tom and Zara mutually agreed to trade the baked goods for publicity on the coffee shops social media page.,,D
01-Contract Formation,TP.2: Legal Test for Consideration,The daughter has no legal right to drive which means there is insufficient legal value and therefore no consideration.,2.b - Understand what is meant by 'legal value' and 'bargained-for-exchange.',,,"A father promises to give his 13-year-old daughter $250 if the daughter refrains from trying to impress her friends by driving her parents car around the neighborhood. The daughter agrees and does not drive her parents car.  $$$$From a legal standpoint, this scenario best provides an example of which of the following?",A unilateral contract,Insufficient legal value ,A conditional gift,Adequate consideration,,B
01-Contract Formation,TP.2: Legal Test for Consideration,"Andre made an offer to sell the vintage disco album for $100, and Malia accepted that offer by agreeing to pay the specified amount. The $100 paid by Malia constitutes consideration, which is the value exchanged in the contract. It does not matter that the record could potentially fetch a higher price in the market; what matters is that both parties agreed to the terms of the sale.","2.a - Apply the legal test for consideration, including both elements of legal value and bargained-for-exchange.",2.e - Understand the concept of adequacy of consideration and the principle of 'freedom of contract.',,"Andre, an avid vinyl record collector, decides to offer one of his vintage disco albums to his cousin, Malia, for $100. Although the record could fetch up to $1000 among collectors, Andre is close to his cousin and knows Malia is a huge disco fan. Malia happily pays the $100, expresses her gratitude for the heavily discounted price, and promises to take great care of the record.$$$$Which of the following statements is true?",The agreement is likely unenforceable because Malia paid much less than the record's potential market value.,The agreement is likely enforceable but only if Malia agrees to provide additional compensation because $100 is a nominal amount.,The agreement is likely enforceable because Andre and Malia freely decided on the terms of the sale of the vintage record.,The agreement is likely unenforceable because promises between family members are considered informal and not legally binding.,,C
01-Contract Formation,TP.2: Legal Test for Consideration,"A promise to do something that one is already legally obligated to do does not constitute valid consideration for a new promise. In contract law, for a promise to be enforceable, there must be consideration, which involves a mutual exchange of value.","2.a - Apply the legal test for consideration, including both elements of legal value and bargained-for-exchange.",,,"Aquascape, Inc has contracted with the owner of an office building to create a large water feature in the front lobby. The contract outlines all the duties and responsibilities of Aquascape, Inc, including providing all necessary labor and materials to complete the water feature on time. Partway through the project, the owner of the office building promises to give Aquascape, Inc a $10,000 bonus if the water feature is completed on time.$$$$Is the promise made by the building owner to Aquascape enforceable?","Yes, because the owner made a promise to Aquascape in exchange for completing a task of legal value","No, because the promise is based on a pre-existing duty specified in Aquascapes contract","Yes, but only if the building owner has sufficient funds to pay the bonus on top of Aquascapes regular fees","No, because Aquascape Inc did not attempt to negotiate the terms of the bonus",,B
01-Contract Formation,TP.2: Legal Test for Consideration,"In the scenario, consideration involves each party providing something of value to the business. Alice's $50,000 loan represents a financial commitment and risk, while Brian's contribution of time and expertise constitutes valuable services. Together, these fulfill the legal requirement for consideration. The agreement to split profits outlines the outcome of their contributions, but it is not itself consideration. Alice's perception of the fairness of the agreement does not affect the legal sufficiency of consideration, as adequacy is not required for a contract to be valid. ","2.a - Apply the legal test for consideration, including both elements of legal value and bargained-for-exchange.",2.d - Identify what is meant by the term 'consideration' in the context of contracts and gifts.,2.e - Understand the concept of adequacy of consideration and the principle of 'freedom of contract.',"Alice and Brian, long-time friends, decided to collaborate and launch an e-commerce site specializing in organic skincare products. Alice agreed to handle all the financial aspects of the business, including taking out a loan for $50,000 from her family to cover start-up costs.  Brian agreed to contribute his expertise and time, taking on the role of sourcing products, creating the website, and doing marketing. They signed an agreement that they would split any profits from the business. After six months in business, Alice tells Brian that their agreement was unfair and left her with all the financial risk. 

Which of the following aspects of this scenario meet the legal test for consideration? Select all that apply.",Alice and Brian signed an agreement to split the profits from the business.,"Alice took out a $50,000 personal loan to start the business.",Brian contributed his time and expertise to launch the business.,Alice realized that Brian provided inadequate consideration relative to her risk.,,BC
01-Contract Formation,TP.2: Legal Test for Consideration,"In the scenario, consideration involves each party providing something of value to the business. Alice's $50,000 loan represents a financial commitment and risk, while Brian's contribution of time and expertise constitutes valuable services. Together, these fulfill the legal requirement for consideration. The agreement to split profits outlines the outcome of their contributions, but it is not itself consideration. Alice's perception of the fairness of the agreement does not affect the legal sufficiency of consideration, as adequacy is not required for a contract to be valid. ","2.a - Apply the legal test for consideration, including both elements of legal value and bargained-for-exchange.",2.d - Identify what is meant by the term 'consideration' in the context of contracts and gifts.,2.e - Understand the concept of adequacy of consideration and the principle of 'freedom of contract.',"Alice and Brian, long-time friends, decided to collaborate and launch an e-commerce site specializing in organic skincare products. Alice agreed to handle all the financial aspects of the business, including taking out a loan for $50,000 from her family to cover start-up costs.  Brian agreed to contribute his expertise and time, taking on the role of sourcing products, creating the website, and doing marketing. They signed an agreement that they would split any profits from the business. After six months in business, Alice tells Brian that their agreement was unfair and left her with all the financial risk. 

Which of the following aspects of this scenario meet the legal test for consideration? Select the two best options.",Alice and Brian signed an agreement to split the profits from the business.,"Alice took out a $50,000 personal loan to start the business.",Brian contributed his time and expertise to launch the business.,Alice realized that Brian provided inadequate consideration relative to her risk.,,BC
